,op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name,range,rmse/scale
0,RESHAPE,122,400.0,0.019841535,-9.399872e-07,0.034335136,0.00039495208,0.06884281,-11,EfficientNetV2/reshape/Reshape,17.55491655,0.28867795081797865
1,CONV_2D,126,4800.0,0.005848622,0.00040282155,0.054117646,3.441356e-05,0.023529412,-128,EfficientNetV2/stem.act/Relu6;EfficientNetV2/stem.bn/FusedBatchNormV3;EfficientNetV2/stage1.mbconv1.se.ex.conv/Conv2D;EfficientNetV2/stem.conv/Conv2D,6.00000006,0.2493180529099531
2,DEPTHWISE_CONV_2D,130,4800.0,0.005163491,9.649666e-05,0.03267268,2.6688438e-05,0.023529412,-128,EfficientNetV2/stage1.mbconv1.dp.act/Relu6;EfficientNetV2/stage1.mbconv1.dp.bn/FusedBatchNormV3;EfficientNetV2/stage1.mbconv1.se.ex.conv/Conv2D;EfficientNetV2/stage1.mbconv1.dp/depthwise,6.00000006,0.2195586258232188
3,MAX_POOL_2D,134,2400.0,0.0,0.0,0.0,0.0,0.023529412,-128,EfficientNetV2/max_pooling2d/MaxPool,6.00000006,0.0
4,MEAN,138,24.0,0.0015130892,0.00053211534,0.003034532,2.6949335e-06,0.005350342,-128,EfficientNetV2/stage1.mbconv1.se.pool/Mean,1.36433721,0.3068262293784586
5,CONV_2D,142,12.0,0.0021404296,0.0004961421,0.0055122557,5.3482645e-06,0.007830815,-128,EfficientNetV2/stage1.mbconv1.se.sq.act/Relu6;EfficientNetV2/stage1.mbconv1.se.sq.conv/BiasAdd;EfficientNetV2/stage3.mbconv1.se.sq.conv/Conv2D;EfficientNetV2/stage1.mbconv1.se.sq.conv/Conv2D;EfficientNetV2/stage1.mbconv1.se.sq.conv/BiasAdd/ReadVariableOp,1.996857825,0.29532449812364264
6,CONV_2D,146,24.0,0.0011949904,6.305022e-05,0.0025188727,1.5004042e-06,0.0036898814,-128,EfficientNetV2/stage1.mbconv1.se.ex.act/Add;EfficientNetV2/stage1.mbconv1.se.ex.act/Mul;EfficientNetV2/stage1.mbconv1.se.ex.conv/BiasAdd/ReadVariableOp;EfficientNetV2/stage1.mbconv1.se.ex.conv/BiasAdd;EfficientNetV2/stage1.mbconv1.se.ex.act/Const;EfficientNetV2/stage1.mbconv1.se.ex.act/Const_1;EfficientNetV2/stage1.mbconv1.se.ex.conv/Conv2D,0.940919757,0.33196456510381384
7,MINIMUM,150,24.0,0.0,0.0,0.0,0.0,0.0036898814,-128,EfficientNetV2/stage1.mbconv1.se.ex.act/clip_by_value/Minimum,0.940919757,0.0
8,RELU,154,24.0,0.0,0.0,0.0,0.0,0.0036898814,-128,EfficientNetV2/stage1.mbconv1.se.ex.act/clip_by_value,0.940919757,0.0
9,MUL,158,2400.0,0.0046807816,0.00012215412,0.010717982,2.200045e-05,0.021365277,-128,EfficientNetV2/multiply/mul,5.4481456349999995,0.2195367619029377
