,op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name,range,rmse/scale
0,RESHAPE,122,400.0,0.021013806,-5.463125e-06,0.036359005,0.0004430296,0.07290107,-3,EfficientNetV2/reshape/Reshape,18.58977285,0.2887237229484299
1,CONV_2D,126,4800.0,0.005337442,2.8217384e-05,0.04348856,2.8523105e-05,0.023529412,-128,EfficientNetV2/stem.act/Relu6;EfficientNetV2/stem.bn/FusedBatchNormV3;EfficientNetV2/stage1.mbconv1.se.ex.conv/Conv2D;EfficientNetV2/stem.conv/Conv2D,6.00000006,0.22697986116801824
2,DEPTHWISE_CONV_2D,130,4800.0,0.0049232184,0.00015142147,0.032792345,2.4299248e-05,0.023529412,-128,EfficientNetV2/stage1.mbconv1.dp.act/Relu6;EfficientNetV2/stage1.mbconv1.dp.bn/FusedBatchNormV3;EfficientNetV2/stage1.mbconv1.se.ex.conv/Conv2D;EfficientNetV2/stage1.mbconv1.dp/depthwise,6.00000006,0.20950063441953984
3,MAX_POOL_2D,134,2400.0,0.0,0.0,0.0,0.0,0.023529412,-128,EfficientNetV2/max_pooling2d/MaxPool,6.00000006,0.0
4,MEAN,138,24.0,0.0011607105,-0.0006483409,0.0025773528,1.8381784e-06,0.0041022734,-128,EfficientNetV2/stage1.mbconv1.se.pool/Mean,1.046079717,0.3304982987458544
5,CONV_2D,142,12.0,0.0027839688,-0.0008516241,0.0065308,9.151376e-06,0.008336945,-128,EfficientNetV2/stage1.mbconv1.se.sq.act/Relu6;EfficientNetV2/stage1.mbconv1.se.sq.conv/BiasAdd;EfficientNetV2/stage3.mbconv1.se.sq.conv/Conv2D;EfficientNetV2/stage1.mbconv1.se.sq.conv/Conv2D;EfficientNetV2/stage1.mbconv1.se.sq.conv/BiasAdd/ReadVariableOp,2.125920975,0.3628576330639819
6,CONV_2D,146,24.0,0.0011562577,0.00013564547,0.0023775166,1.4210202e-06,0.0035655098,-128,EfficientNetV2/stage1.mbconv1.se.ex.act/Add;EfficientNetV2/stage1.mbconv1.se.ex.act/Mul;EfficientNetV2/stage1.mbconv1.se.ex.conv/BiasAdd/ReadVariableOp;EfficientNetV2/stage1.mbconv1.se.ex.conv/BiasAdd;EfficientNetV2/stage1.mbconv1.se.ex.act/Const;EfficientNetV2/stage1.mbconv1.se.ex.act/Const_1;EfficientNetV2/stage1.mbconv1.se.ex.conv/Conv2D,0.909204999,0.33433241954169335
7,MINIMUM,150,24.0,0.0,0.0,0.0,0.0,0.0035655098,-128,EfficientNetV2/stage1.mbconv1.se.ex.act/clip_by_value/Minimum,0.909204999,0.0
8,RELU,154,24.0,0.0,0.0,0.0,0.0,0.0035655098,-128,EfficientNetV2/stage1.mbconv1.se.ex.act/clip_by_value,0.909204999,0.0
9,MUL,158,2400.0,0.0037452325,0.00010630809,0.008912225,1.4157662e-05,0.017740736,-128,EfficientNetV2/multiply/mul,4.52388768,0.21209192636516605
